W0505 05:44:42.031000 6249 torch/distributed/run.py:852] 
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] *****************************************
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 1 is connected to 1 peer ranks. Expected number of connected peer ranks is : 1
[Gloo] Rank 0 is connected to 1 peer ranks. Expected number of connected peer ranks is : 1
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6973.07it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 41943.04it/s]
logs/f76c54c3-c5fe-46b4-8d17-4d9eed580620.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:229/1480 train_time:26653ms step_avg:116.39ms
step:230/1480 train_time:26769ms step_avg:116.39ms
step:231/1480 train_time:26885ms step_avg:116.39ms
step:232/1480 train_time:27001ms step_avg:116.38ms
step:233/1480 train_time:27118ms step_avg:116.38ms
step:234/1480 train_time:27233ms step_avg:116.38ms
step:235/1480 train_time:27350ms step_avg:116.38ms
step:236/1480 train_time:27465ms step_avg:116.38ms
step:237/1480 train_time:27582ms step_avg:116.38ms
step:238/1480 train_time:27699ms step_avg:116.38ms
step:239/1480 train_time:27815ms step_avg:116.38ms
step:240/1480 train_time:27930ms step_avg:116.37ms
step:241/1480 train_time:28047ms step_avg:116.38ms
step:242/1480 train_time:28163ms step_avg:116.38ms
step:243/1480 train_time:28281ms step_avg:116.38ms
step:244/1480 train_time:28395ms step_avg:116.37ms
step:245/1480 train_time:28513ms step_avg:116.38ms
step:246/1480 train_time:28629ms step_avg:116.38ms
step:247/1480 train_time:28745ms step_avg:116.38ms
step:248/1480 train_time:28860ms step_avg:116.37ms
step:249/1480 train_time:28977ms step_avg:116.38ms
step:250/1480 train_time:29092ms step_avg:116.37ms
step:250/1480 val_loss:4.6943 train_time:29134ms step_avg:116.54ms
step:251/1480 train_time:29210ms step_avg:116.37ms
step:252/1480 train_time:29325ms step_avg:116.37ms
step:253/1480 train_time:29442ms step_avg:116.37ms
step:254/1480 train_time:29558ms step_avg:116.37ms
step:255/1480 train_time:29676ms step_avg:116.37ms
step:256/1480 train_time:29791ms step_avg:116.37ms
step:257/1480 train_time:29909ms step_avg:116.38ms
step:258/1480 train_time:30025ms step_avg:116.38ms
step:259/1480 train_time:30145ms step_avg:116.39ms
step:260/1480 train_time:30260ms step_avg:116.38ms
step:261/1480 train_time:30376ms step_avg:116.38ms
step:262/1480 train_time:30491ms step_avg:116.38ms
step:263/1480 train_time:30608ms step_avg:116.38ms
step:264/1480 train_time:30723ms step_avg:116.37ms
step:265/1480 train_time:30841ms step_avg:116.38ms
step:266/1480 train_time:30957ms step_avg:116.38ms
step:267/1480 train_time:31076ms step_avg:116.39ms
step:268/1480 train_time:31191ms step_avg:116.39ms
step:269/1480 train_time:31309ms step_avg:116.39ms
step:270/1480 train_time:31423ms step_avg:116.38ms
step:271/1480 train_time:31542ms step_avg:116.39ms
step:272/1480 train_time:31656ms step_avg:116.38ms
step:273/1480 train_time:31774ms step_avg:116.39ms
step:274/1480 train_time:31889ms step_avg:116.38ms
